treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,MULTIPLE_VARIANCE,lhs,comma,random,0.50956377,0.04914107,100200,477,,,
baseline,WP1,7,1,MULTIPLE_VARIANCE,lhs,comma,random,0.46991157,0.12313308,100200,477,,,
baseline,WP1,7,2,MULTIPLE_VARIANCE,lhs,comma,random,0.50526797,0.05715713,100200,477,,,
baseline,WP1,7,3,MULTIPLE_VARIANCE,lhs,comma,random,0.51511266,0.03878668,100200,477,,,
baseline,WP1,7,4,MULTIPLE_VARIANCE,lhs,comma,random,0.47746352,0.10904094,100200,477,,,
baseline,WP1,7,5,MULTIPLE_VARIANCE,lhs,comma,random,0.51883077,0.03184861,100200,477,,,
baseline,WP1,7,6,MULTIPLE_VARIANCE,lhs,comma,random,0.47058468,0.12187704,100200,477,,,
baseline,WP1,7,7,MULTIPLE_VARIANCE,lhs,comma,random,0.50424444,0.05906706,100200,477,,,
baseline,WP1,7,8,MULTIPLE_VARIANCE,lhs,comma,random,0.51019496,0.04796324,100200,477,,,
baseline,WP1,7,9,MULTIPLE_VARIANCE,lhs,comma,random,0.52026163,0.02917858,100200,477,,,
baseline,WP1,10,0,MULTIPLE_VARIANCE,lhs,comma,random,0.40173451,0.04639445,100200,477,,,
baseline,WP1,10,1,MULTIPLE_VARIANCE,lhs,comma,random,0.36193495,0.1408675,100200,477,,,
baseline,WP1,10,2,MULTIPLE_VARIANCE,lhs,comma,random,0.35280639,0.16253616,100200,477,,,
baseline,WP1,10,3,MULTIPLE_VARIANCE,lhs,comma,random,0.35620084,0.15447866,100200,477,,,
baseline,WP1,10,4,MULTIPLE_VARIANCE,lhs,comma,random,0.3758377,0.10786625,100200,477,,,
baseline,WP1,10,5,MULTIPLE_VARIANCE,lhs,comma,random,0.34020293,0.19245324,100200,477,,,
baseline,WP1,10,6,MULTIPLE_VARIANCE,lhs,comma,random,0.35822209,0.14968078,100200,477,,,
baseline,WP1,10,7,MULTIPLE_VARIANCE,lhs,comma,random,0.36906606,0.12394023,100200,477,,,
baseline,WP1,10,8,MULTIPLE_VARIANCE,lhs,comma,random,0.36556456,0.1322518,100200,477,,,
baseline,WP1,10,9,MULTIPLE_VARIANCE,lhs,comma,random,0.36031522,0.14471227,100200,477,,,
baseline,WP1,15,0,MULTIPLE_VARIANCE,lhs,comma,random,0.22360902,0.34441154,100200,477,,,
baseline,WP1,15,1,MULTIPLE_VARIANCE,lhs,comma,random,0.22404587,0.34313075,100200,477,,,
baseline,WP1,15,2,MULTIPLE_VARIANCE,lhs,comma,random,0.27140054,0.20429387,100200,477,,,
baseline,WP1,15,3,MULTIPLE_VARIANCE,lhs,comma,random,0.24197609,0.29056199,100200,477,,,
baseline,WP1,15,4,MULTIPLE_VARIANCE,lhs,comma,random,0.25356776,0.25657693,100200,477,,,
baseline,WP1,15,5,MULTIPLE_VARIANCE,lhs,comma,random,0.2342613,0.31318061,100200,477,,,
baseline,WP1,15,6,MULTIPLE_VARIANCE,lhs,comma,random,0.24242236,0.28925361,100200,477,,,
baseline,WP1,15,7,MULTIPLE_VARIANCE,lhs,comma,random,0.22953294,0.32704348,100200,477,,,
baseline,WP1,15,8,MULTIPLE_VARIANCE,lhs,comma,random,0.24630978,0.27785625,100200,477,,,
baseline,WP1,15,9,MULTIPLE_VARIANCE,lhs,comma,random,0.19765543,0.42050359,100200,477,,,
baseline,WP1,20,0,MULTIPLE_VARIANCE,lhs,comma,random,0.18936581,0.33929479,100200,477,,,
baseline,WP1,20,1,MULTIPLE_VARIANCE,lhs,comma,random,0.17550034,0.38767201,100200,477,,,
baseline,WP1,20,2,MULTIPLE_VARIANCE,lhs,comma,random,0.17260714,0.39776651,100200,477,,,
baseline,WP1,20,3,MULTIPLE_VARIANCE,lhs,comma,random,0.18494186,0.35473015,100200,477,,,
baseline,WP1,20,4,MULTIPLE_VARIANCE,lhs,comma,random,0.22400814,0.21842627,100200,477,,,
baseline,WP1,20,5,MULTIPLE_VARIANCE,lhs,comma,random,0.20280017,0.29242176,100200,477,,,
baseline,WP1,20,6,MULTIPLE_VARIANCE,lhs,comma,random,0.1672815,0.41634789,100200,477,,,
baseline,WP1,20,7,MULTIPLE_VARIANCE,lhs,comma,random,0.19352363,0.32478798,100200,477,,,
baseline,WP1,20,8,MULTIPLE_VARIANCE,lhs,comma,random,0.11729392,0.59075662,100200,477,,,
baseline,WP1,20,9,MULTIPLE_VARIANCE,lhs,comma,random,0.14076346,0.50887041,100200,477,,,
B-no_lhs,WP1,7,0,MULTIPLE_VARIANCE,uniform,comma,random,0.46728102,0.12804174,100200,477,,,
B-no_lhs,WP1,7,1,MULTIPLE_VARIANCE,uniform,comma,random,0.52177845,0.02634815,100200,477,,,
B-no_lhs,WP1,7,2,MULTIPLE_VARIANCE,uniform,comma,random,0.52083504,0.02810858,100200,477,,,
B-no_lhs,WP1,7,3,MULTIPLE_VARIANCE,uniform,comma,random,0.48773173,0.08988019,100200,477,,,
B-no_lhs,WP1,7,4,MULTIPLE_VARIANCE,uniform,comma,random,0.51644918,0.0362927,100200,477,,,
B-no_lhs,WP1,7,5,MULTIPLE_VARIANCE,uniform,comma,random,0.51444708,0.04002868,100200,477,,,
B-no_lhs,WP1,7,6,MULTIPLE_VARIANCE,uniform,comma,random,0.5177846,0.03380079,100200,477,,,
B-no_lhs,WP1,7,7,MULTIPLE_VARIANCE,uniform,comma,random,0.50723163,0.0534929,100200,477,,,
B-no_lhs,WP1,7,8,MULTIPLE_VARIANCE,uniform,comma,random,0.50672445,0.05443931,100200,477,,,
B-no_lhs,WP1,7,9,MULTIPLE_VARIANCE,uniform,comma,random,0.51652223,0.03615639,100200,477,,,
B-no_lhs,WP1,10,0,MULTIPLE_VARIANCE,uniform,comma,random,0.3480017,0.17394115,100200,477,,,
B-no_lhs,WP1,10,1,MULTIPLE_VARIANCE,uniform,comma,random,0.39744288,0.05658158,100200,477,,,
B-no_lhs,WP1,10,2,MULTIPLE_VARIANCE,uniform,comma,random,0.37803085,0.10266032,100200,477,,,
B-no_lhs,WP1,10,3,MULTIPLE_VARIANCE,uniform,comma,random,0.36071581,0.14376139,100200,477,,,
B-no_lhs,WP1,10,4,MULTIPLE_VARIANCE,uniform,comma,random,0.36081624,0.143523,100200,477,,,
B-no_lhs,WP1,10,5,MULTIPLE_VARIANCE,uniform,comma,random,0.36447289,0.13484314,100200,477,,,
B-no_lhs,WP1,10,6,MULTIPLE_VARIANCE,uniform,comma,random,0.3832575,0.09025372,100200,477,,,
