treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,FULL_VARIANCE,lhs,comma,random,0.28045249,0.47666852,100200,477,,,
baseline,WP1,7,1,FULL_VARIANCE,lhs,comma,random,0.29946544,0.44118988,100200,477,,,
baseline,WP1,7,2,FULL_VARIANCE,lhs,comma,random,0.50932739,0.04958215,100200,477,,,
baseline,WP1,7,3,FULL_VARIANCE,lhs,comma,random,0.33910179,0.36722744,100200,477,,,
baseline,WP1,7,4,FULL_VARIANCE,lhs,comma,random,0.51299298,0.04274207,100200,477,,,
baseline,WP1,7,5,FULL_VARIANCE,lhs,comma,random,0.34396692,0.35814899,100200,477,,,
baseline,WP1,7,6,FULL_VARIANCE,lhs,comma,random,0.51086145,0.04671956,100200,477,,,
baseline,WP1,7,7,FULL_VARIANCE,lhs,comma,random,0.50313762,0.06113242,100200,477,,,
baseline,WP1,7,8,FULL_VARIANCE,lhs,comma,random,0.28151942,0.47467762,100200,477,,,
baseline,WP1,7,9,FULL_VARIANCE,lhs,comma,random,0.51704937,0.03517275,100200,477,,,
baseline,WP1,10,0,FULL_VARIANCE,lhs,comma,random,0.36908692,0.12389071,100200,477,,,
baseline,WP1,10,1,FULL_VARIANCE,lhs,comma,random,0.32292111,0.23347546,100200,477,,,
baseline,WP1,10,2,FULL_VARIANCE,lhs,comma,random,0.35666379,0.15337976,100200,477,,,
baseline,WP1,10,3,FULL_VARIANCE,lhs,comma,random,0.22723837,0.46059956,100200,477,,,
baseline,WP1,10,4,FULL_VARIANCE,lhs,comma,random,0.35756419,0.15124246,100200,477,,,
baseline,WP1,10,5,FULL_VARIANCE,lhs,comma,random,0.36748378,0.12769613,100200,477,,,
baseline,WP1,10,6,FULL_VARIANCE,lhs,comma,random,0.20104277,0.52278061,100200,477,,,
baseline,WP1,10,7,FULL_VARIANCE,lhs,comma,random,0.2369181,0.43762259,100200,477,,,
baseline,WP1,10,8,FULL_VARIANCE,lhs,comma,random,0.38282748,0.09127445,100200,477,,,
baseline,WP1,10,9,FULL_VARIANCE,lhs,comma,random,0.22997455,0.45410463,100200,477,,,
baseline,WP1,15,0,FULL_VARIANCE,lhs,comma,random,0.13704206,0.598213,100200,477,,,
baseline,WP1,15,1,FULL_VARIANCE,lhs,comma,random,0.11702095,0.65691192,100200,477,,,
baseline,WP1,15,2,FULL_VARIANCE,lhs,comma,random,0.12544908,0.6322019,100200,477,,,
baseline,WP1,15,3,FULL_VARIANCE,lhs,comma,random,0.11958206,0.64940314,100200,477,,,
baseline,WP1,15,4,FULL_VARIANCE,lhs,comma,random,0.13866646,0.5934505,100200,477,,,
baseline,WP1,15,5,FULL_VARIANCE,lhs,comma,random,0.13895294,0.59261058,100200,477,,,
baseline,WP1,15,6,FULL_VARIANCE,lhs,comma,random,0.1191493,0.65067193,100200,477,,,
baseline,WP1,15,7,FULL_VARIANCE,lhs,comma,random,0.13202379,0.61292584,100200,477,,,
baseline,WP1,15,8,FULL_VARIANCE,lhs,comma,random,0.11643063,0.65864266,100200,477,,,
baseline,WP1,15,9,FULL_VARIANCE,lhs,comma,random,0.14751191,0.56751698,100200,477,,,
baseline,WP1,20,0,FULL_VARIANCE,lhs,comma,random,0.1057018,0.63120201,100200,477,,,
baseline,WP1,20,1,FULL_VARIANCE,lhs,comma,random,0.08867146,0.6906216,100200,477,,,
baseline,WP1,20,2,FULL_VARIANCE,lhs,comma,random,0.08954986,0.68755681,100200,477,,,
baseline,WP1,20,3,FULL_VARIANCE,lhs,comma,random,0.09188602,0.67940586,100200,477,,,
baseline,WP1,20,4,FULL_VARIANCE,lhs,comma,random,0.08849738,0.69122895,100200,477,,,
baseline,WP1,20,5,FULL_VARIANCE,lhs,comma,random,0.10625588,0.62926881,100200,477,,,
baseline,WP1,20,6,FULL_VARIANCE,lhs,comma,random,0.10133699,0.64643102,100200,477,,,
baseline,WP1,20,7,FULL_VARIANCE,lhs,comma,random,0.10051118,0.64931231,100200,477,,,
baseline,WP1,20,8,FULL_VARIANCE,lhs,comma,random,0.09141776,0.68103962,100200,477,,,
baseline,WP1,20,9,FULL_VARIANCE,lhs,comma,random,0.10537939,0.63232692,100200,477,,,
B-no_lhs,WP1,7,0,FULL_VARIANCE,uniform,comma,random,0.50798096,0.05209463,100200,477,,,
B-no_lhs,WP1,7,1,FULL_VARIANCE,uniform,comma,random,0.53434252,0.00290329,100200,477,24810,,
B-no_lhs,WP1,7,2,FULL_VARIANCE,uniform,comma,random,0.3317749,0.3808996,100200,477,,,
B-no_lhs,WP1,7,3,FULL_VARIANCE,uniform,comma,random,0.5093119,0.04961106,100200,477,,,
B-no_lhs,WP1,7,4,FULL_VARIANCE,uniform,comma,random,0.50761218,0.05278278,100200,477,,,
B-no_lhs,WP1,7,5,FULL_VARIANCE,uniform,comma,random,0.50676447,0.05436463,100200,477,,,
B-no_lhs,WP1,7,6,FULL_VARIANCE,uniform,comma,random,0.51392701,0.04099915,100200,477,,,
B-no_lhs,WP1,7,7,FULL_VARIANCE,uniform,comma,random,0.50070053,0.06568009,100200,477,,,
B-no_lhs,WP1,7,8,FULL_VARIANCE,uniform,comma,random,0.25875779,0.51715139,100200,477,,,
B-no_lhs,WP1,7,9,FULL_VARIANCE,uniform,comma,random,0.52839852,0.01399494,100200,477,27540,,
B-no_lhs,WP1,10,0,FULL_VARIANCE,uniform,comma,random,0.21028604,0.50083966,100200,477,,,
B-no_lhs,WP1,10,1,FULL_VARIANCE,uniform,comma,random,0.37691149,0.10531738,100200,477,,,
B-no_lhs,WP1,10,2,FULL_VARIANCE,uniform,comma,random,0.21255205,0.49546077,100200,477,,,
B-no_lhs,WP1,10,3,FULL_VARIANCE,uniform,comma,random,0.22357798,0.4692883,100200,477,,,
B-no_lhs,WP1,10,4,FULL_VARIANCE,uniform,comma,random,0.16539871,0.60738964,100200,477,,,
B-no_lhs,WP1,10,5,FULL_VARIANCE,uniform,comma,random,0.35202361,0.16439425,100200,477,,,
B-no_lhs,WP1,10,6,FULL_VARIANCE,uniform,comma,random,0.17601423,0.58219136,100200,477,,,
B-no_lhs,WP1,10,7,FULL_VARIANCE,uniform,comma,random,0.22661848,0.46207101,100200,477,,,
B-no_lhs,WP1,10,8,FULL_VARIANCE,uniform,comma,random,0.20279534,0.51862049,100200,477,,,
B-no_lhs,WP1,10,9,FULL_VARIANCE,uniform,comma,random,0.23383927,0.44493086,100200,477,,,
B-no_lhs,WP1,15,0,FULL_VARIANCE,uniform,comma,random,0.1411411,0.58619523,100200,477,,,
B-no_lhs,WP1,15,1,FULL_VARIANCE,uniform,comma,random,0.11291311,0.66895551,100200,477,,,
B-no_lhs,WP1,15,2,FULL_VARIANCE,uniform,comma,random,0.18990257,0.44323384,100200,477,,,
B-no_lhs,WP1,15,3,FULL_VARIANCE,uniform,comma,random,0.1358405,0.60173582,100200,477,,,
B-no_lhs,WP1,15,4,FULL_VARIANCE,uniform,comma,random,0.11689904,0.65726936,100200,477,,,
B-no_lhs,WP1,15,5,FULL_VARIANCE,uniform,comma,random,0.13292451,0.61028505,100200,477,,,
B-no_lhs,WP1,15,6,FULL_VARIANCE,uniform,comma,random,0.12530067,0.63263703,100200,477,,,
B-no_lhs,WP1,15,7,FULL_VARIANCE,uniform,comma,random,0.16791189,0.50770725,100200,477,,,
B-no_lhs,WP1,15,8,FULL_VARIANCE,uniform,comma,random,0.12425697,0.635697,100200,477,,,
B-no_lhs,WP1,15,9,FULL_VARIANCE,uniform,comma,random,0.1289122,0.62204856,100200,477,,,
B-no_lhs,WP1,20,0,FULL_VARIANCE,uniform,comma,random,0.08723093,0.69564764,100200,477,,,
B-no_lhs,WP1,20,1,FULL_VARIANCE,uniform,comma,random,0.09477649,0.66932089,100200,477,,,
B-no_lhs,WP1,20,2,FULL_VARIANCE,uniform,comma,random,0.09242758,0.67751631,100200,477,,,
B-no_lhs,WP1,20,3,FULL_VARIANCE,uniform,comma,random,0.08525508,0.70254148,100200,477,,,
B-no_lhs,WP1,20,4,FULL_VARIANCE,uniform,comma,random,0.10272432,0.64159056,100200,477,,,
B-no_lhs,WP1,20,5,FULL_VARIANCE,uniform,comma,random,0.08581576,0.70058523,100200,477,,,
B-no_lhs,WP1,20,6,FULL_VARIANCE,uniform,comma,random,0.10027228,0.65014584,100200,477,,,
B-no_lhs,WP1,20,7,FULL_VARIANCE,uniform,comma,random,0.10867288,0.62083579,100200,477,,,
B-no_lhs,WP1,20,8,FULL_VARIANCE,uniform,comma,random,0.093792,0.67275579,100200,477,,,
B-no_lhs,WP1,20,9,FULL_VARIANCE,uniform,comma,random,0.11690427,0.59211614,100200,477,,,
B-repair_clip,WP3,7,0,FULL_VARIANCE,lhs,comma,clip,0.53219404,0.0069124,100200,477,10320,,
B-repair_clip,WP3,7,1,FULL_VARIANCE,lhs,comma,clip,0.5132791,0.04220817,100200,477,,,
B-repair_clip,WP3,7,2,FULL_VARIANCE,lhs,comma,clip,0.52687932,0.0168298,100200,477,18510,,
B-repair_clip,WP3,7,3,FULL_VARIANCE,lhs,comma,clip,0.517638,0.03407435,100200,477,,,
B-repair_clip,WP3,7,4,FULL_VARIANCE,lhs,comma,clip,0.5013271,0.0645109,100200,477,,,
B-repair_clip,WP3,7,5,FULL_VARIANCE,lhs,comma,clip,0.50259316,0.06214839,100200,477,,,
B-repair_clip,WP3,7,6,FULL_VARIANCE,lhs,comma,clip,0.52787478,0.01497225,100200,477,17040,,
B-repair_clip,WP3,7,7,FULL_VARIANCE,lhs,comma,clip,0.52902082,0.01283371,100200,477,13680,,
B-repair_clip,WP3,7,8,FULL_VARIANCE,lhs,comma,clip,0.52445383,0.02135584,100200,477,,,
