treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,SINGLE_VARIANCE,lhs,comma,off,0.4247577,0.20739134,4020,19,,,
baseline,WP1,7,1,SINGLE_VARIANCE,lhs,comma,off,0.43046417,0.19674293,4020,19,,,
baseline,WP1,7,2,SINGLE_VARIANCE,lhs,comma,off,0.47488486,0.11385279,4020,19,,,
baseline,WP1,7,3,SINGLE_VARIANCE,lhs,comma,off,0.43178679,0.19427487,4020,19,,,
B-no_lhs,WP1,7,0,SINGLE_VARIANCE,uniform,comma,off,0.48051127,0.10335376,4020,19,,,
B-no_lhs,WP1,7,1,SINGLE_VARIANCE,uniform,comma,off,0.42966227,0.19823929,4020,19,,,
B-no_lhs,WP1,7,2,SINGLE_VARIANCE,uniform,comma,off,0.47026585,0.12247198,4020,19,,,
B-no_lhs,WP1,7,3,SINGLE_VARIANCE,uniform,comma,off,0.40922715,0.23637174,4020,19,,,
B+plus,WP2,7,0,SINGLE_VARIANCE,lhs,plus,off,0.39265966,0.2672871,4020,19,,,
B+plus,WP2,7,1,SINGLE_VARIANCE,lhs,plus,off,0.42383465,0.20911378,4020,19,,,
B+plus,WP2,7,2,SINGLE_VARIANCE,lhs,plus,off,0.3666216,0.31587478,4020,19,,,
B+plus,WP2,7,3,SINGLE_VARIANCE,lhs,plus,off,0.3495173,0.34779185,4020,19,,,
B+arch_book,WP2,7,0,SINGLE_VARIANCE,lhs,comma,bookkeeping,0.4247577,0.20739134,4020,19,,,
B+arch_book,WP2,7,1,SINGLE_VARIANCE,lhs,comma,bookkeeping,0.43046417,0.19674293,4020,19,,,
B+arch_book,WP2,7,2,SINGLE_VARIANCE,lhs,comma,bookkeeping,0.47488486,0.11385279,4020,19,,,
B+arch_book,WP2,7,3,SINGLE_VARIANCE,lhs,comma,bookkeeping,0.43178679,0.19427487,4020,19,,,
B+arch_reintro,WP2,7,0,SINGLE_VARIANCE,lhs,comma,reintroduction,0.4247577,0.20739134,4020,19,,,
B+arch_reintro,WP2,7,1,SINGLE_VARIANCE,lhs,comma,reintroduction,0.43046417,0.19674293,4020,19,,,
B+arch_reintro,WP2,7,2,SINGLE_VARIANCE,lhs,comma,reintroduction,0.47488486,0.11385279,4020,19,,,
B+arch_reintro,WP2,7,3,SINGLE_VARIANCE,lhs,comma,reintroduction,0.43178679,0.19427487,4020,19,,,
