treatment,wp,n_circles,seed,strategy,init,selection_scheme,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP4,7,0,FULL_VARIANCE,lhs,comma,0.36007799,0.32808533,4020,19,,,
baseline,WP4,7,1,FULL_VARIANCE,lhs,comma,0.3088345,0.42370697,4020,19,,,
baseline,WP4,7,2,FULL_VARIANCE,lhs,comma,0.27512223,0.48661494,4020,19,,,
SINGLE_VARIANCE,WP4,7,0,SINGLE_VARIANCE,lhs,comma,0.4247577,0.20739134,4020,19,,,
SINGLE_VARIANCE,WP4,7,1,SINGLE_VARIANCE,lhs,comma,0.43046417,0.19674293,4020,19,,,
SINGLE_VARIANCE,WP4,7,2,SINGLE_VARIANCE,lhs,comma,0.47488486,0.11385279,4020,19,,,
MULTIPLE_VARIANCE,WP4,7,0,MULTIPLE_VARIANCE,lhs,comma,0.28157969,0.47456514,4020,19,,,
MULTIPLE_VARIANCE,WP4,7,1,MULTIPLE_VARIANCE,lhs,comma,0.3513907,0.34429602,4020,19,,,
MULTIPLE_VARIANCE,WP4,7,2,MULTIPLE_VARIANCE,lhs,comma,0.31228258,0.41727278,4020,19,,,
FULL_VARIANCE,WP4,7,0,FULL_VARIANCE,lhs,comma,0.36007799,0.32808533,4020,19,,,
FULL_VARIANCE,WP4,7,1,FULL_VARIANCE,lhs,comma,0.3088345,0.42370697,4020,19,,,
FULL_VARIANCE,WP4,7,2,FULL_VARIANCE,lhs,comma,0.27512223,0.48661494,4020,19,,,
