n_circles,strategy,init_mode,success_rate_1e-02,n_success_1e-02,ert_1e-02,ert_normalised_1e-02,fht_median_1e-02,fht_mean_1e-02,fht_std_1e-02,fht_min_1e-02,success_rate_1e-03,n_success_1e-03,ert_1e-03,ert_normalised_1e-03,fht_median_1e-03,fht_mean_1e-03,fht_std_1e-03,fht_min_1e-03,success_rate_1e-05,n_success_1e-05,ert_1e-05,ert_normalised_1e-05,fht_median_1e-05,fht_mean_1e-05,fht_std_1e-05,fht_min_1e-05,median_final_fitness,mean_final_fitness,std_final_fitness,best_final_fitness,worst_final_fitness,median_gap,mean_gap,best_gap,median_evals,mean_evals,median_evals_to_90pct,budget_exhausted_count
7,SINGLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.4963569884958706,0.45152070483949364,0.07490078911991797,0.5225071344465866,0.27227221721875805,0.03954139636637477,0.0843776800227517,0.013391250415658806,100170.0,100170.0,46410.0,25
7,SINGLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.5022129598051234,0.4751968075942458,0.06457449937260559,0.5234371720557405,0.28289573817777375,0.03368542505712202,0.060701577267999615,0.012461212806504918,100170.0,100170.0,24570.0,25
7,MULTIPLE_VARIANCE,random,0.08,2,1252125.0,12.52125,85050.0,85050.0,2100.0,82950.0,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.5114865711965298,0.5050506378110099,0.020738083550294148,0.5316354889703648,0.4499547333469928,0.024411813665715543,0.030847747051235413,0.004262895891880558,100170.0,100170.0,34020.0,25
7,MULTIPLE_VARIANCE,cluster_corner,0.04,1,2504250.0,25.0425,81690.0,81690.0,,81690.0,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.5086498130823143,0.502500633362867,0.016894213538655677,0.5278986947744717,0.4609518597303188,0.02724857177993112,0.03339775149937836,0.007999690087773681,100170.0,100170.0,36750.0,25
7,FULL_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.2890540503681616,0.2953976228385474,0.03221131450537712,0.3567048056821504,0.23224798518837053,0.24684433449408377,0.24050076202369794,0.179193579180095,100170.0,100170.0,inf,25
7,FULL_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.29126506997507273,0.29304675442209216,0.037581470578150845,0.39961910385130783,0.23356203949971024,0.24463331488717266,0.2428516304401532,0.13627928101093756,100170.0,100170.0,inf,25
10,SINGLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.35019446713172114,0.29760616840215837,0.07658665039291306,0.3974556483190846,0.1851002589418977,0.0710850768521823,0.12367337558174508,0.02382389566481885,100170.0,100170.0,inf,25
10,SINGLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.2988282976562809,0.2727000197170999,0.09380041098736958,0.39652375755879,0.0405423698860559,0.12245124632762255,0.14857952426680351,0.024755786425113446,100170.0,100170.0,inf,25
10,MULTIPLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.3717684864541864,0.37474902192723186,0.013027943853122602,0.39930134883380625,0.35587315863207364,0.04951105752971702,0.04653052205667159,0.02197819515009719,100170.0,100170.0,inf,25
10,MULTIPLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.3771298877078155,0.37582060869195577,0.02162122583614715,0.4104340120823611,0.31182865229566165,0.04414965627608791,0.04545893529194769,0.01084553190154236,100170.0,100170.0,inf,25
