n_circles,strategy,init_mode,seed,final_gap
7,SINGLE_VARIANCE,random,0,0.20987580
7,SINGLE_VARIANCE,random,1,0.39440343
7,SINGLE_VARIANCE,random,2,0.21763396
7,SINGLE_VARIANCE,random,3,0.06321682
7,SINGLE_VARIANCE,random,4,0.05895288
7,SINGLE_VARIANCE,random,5,0.09464722
7,SINGLE_VARIANCE,random,6,0.07014829
7,SINGLE_VARIANCE,random,7,0.34283977
7,SINGLE_VARIANCE,random,8,0.14536915
7,SINGLE_VARIANCE,random,9,0.23200094
7,SINGLE_VARIANCE,random,10,0.47817109
7,SINGLE_VARIANCE,random,11,0.49193313
7,SINGLE_VARIANCE,random,12,0.04993526
7,SINGLE_VARIANCE,random,13,0.07378525
7,SINGLE_VARIANCE,random,14,0.04007445
7,SINGLE_VARIANCE,random,15,0.06642877
7,SINGLE_VARIANCE,random,16,0.04854324
7,SINGLE_VARIANCE,random,17,0.02498841
7,SINGLE_VARIANCE,random,18,0.03840191
7,SINGLE_VARIANCE,random,19,0.11126741
7,SINGLE_VARIANCE,random,20,0.04747651
7,SINGLE_VARIANCE,random,21,0.25815883
7,SINGLE_VARIANCE,random,22,0.26542560
7,SINGLE_VARIANCE,random,23,0.06623943
7,SINGLE_VARIANCE,random,24,0.04635483
7,SINGLE_VARIANCE,cluster_corner,0,0.06498857
7,SINGLE_VARIANCE,cluster_corner,1,0.06298748
7,SINGLE_VARIANCE,cluster_corner,2,0.05207030
7,SINGLE_VARIANCE,cluster_corner,3,0.03865534
7,SINGLE_VARIANCE,cluster_corner,4,0.05845072
7,SINGLE_VARIANCE,cluster_corner,5,0.05744728
7,SINGLE_VARIANCE,cluster_corner,6,0.20159852
7,SINGLE_VARIANCE,cluster_corner,7,0.47210937
7,SINGLE_VARIANCE,cluster_corner,8,0.06326027
7,SINGLE_VARIANCE,cluster_corner,9,0.03999850
7,SINGLE_VARIANCE,cluster_corner,10,0.36614809
7,SINGLE_VARIANCE,cluster_corner,11,0.07915207
7,SINGLE_VARIANCE,cluster_corner,12,0.42072607
7,SINGLE_VARIANCE,cluster_corner,13,0.05593251
7,SINGLE_VARIANCE,cluster_corner,14,0.06285786
7,SINGLE_VARIANCE,cluster_corner,15,0.15100204
7,SINGLE_VARIANCE,cluster_corner,16,0.03479978
7,SINGLE_VARIANCE,cluster_corner,17,0.02325294
7,SINGLE_VARIANCE,cluster_corner,18,0.04175258
7,SINGLE_VARIANCE,cluster_corner,19,0.09016383
7,SINGLE_VARIANCE,cluster_corner,20,0.03749144
7,SINGLE_VARIANCE,cluster_corner,21,0.11899924
7,SINGLE_VARIANCE,cluster_corner,22,0.06212735
7,SINGLE_VARIANCE,cluster_corner,23,0.11773409
7,SINGLE_VARIANCE,cluster_corner,24,0.05806090
10,SINGLE_VARIANCE,random,0,0.56062367
10,SINGLE_VARIANCE,random,1,0.50668915
10,SINGLE_VARIANCE,random,2,0.16287848
10,SINGLE_VARIANCE,random,3,0.51770516
10,SINGLE_VARIANCE,random,4,0.11379582
10,SINGLE_VARIANCE,random,5,0.11340901
10,SINGLE_VARIANCE,random,6,0.22749026
10,SINGLE_VARIANCE,random,7,0.16873612
10,SINGLE_VARIANCE,random,8,0.11118038
10,SINGLE_VARIANCE,random,9,0.11936264
10,SINGLE_VARIANCE,random,10,0.39108875
10,SINGLE_VARIANCE,random,11,0.51736172
10,SINGLE_VARIANCE,random,12,0.52447154
10,SINGLE_VARIANCE,random,13,0.14669991
10,SINGLE_VARIANCE,random,14,0.55603569
10,SINGLE_VARIANCE,random,15,0.13327731
10,SINGLE_VARIANCE,random,16,0.13598728
10,SINGLE_VARIANCE,random,17,0.54427837
10,SINGLE_VARIANCE,random,18,0.16815392
10,SINGLE_VARIANCE,random,19,0.05655128
10,SINGLE_VARIANCE,random,20,0.52686062
10,SINGLE_VARIANCE,random,21,0.29981226
10,SINGLE_VARIANCE,random,22,0.15572277
10,SINGLE_VARIANCE,random,23,0.16458517
10,SINGLE_VARIANCE,random,24,0.41639421
10,SINGLE_VARIANCE,cluster_corner,0,0.49429300
10,SINGLE_VARIANCE,cluster_corner,1,0.56753997
10,SINGLE_VARIANCE,cluster_corner,2,0.29066507
10,SINGLE_VARIANCE,cluster_corner,3,0.57534549
10,SINGLE_VARIANCE,cluster_corner,4,0.10207875
10,SINGLE_VARIANCE,cluster_corner,5,0.10777458
10,SINGLE_VARIANCE,cluster_corner,6,0.18942095
10,SINGLE_VARIANCE,cluster_corner,7,0.51227505
10,SINGLE_VARIANCE,cluster_corner,8,0.11578238
10,SINGLE_VARIANCE,cluster_corner,9,0.90376373
10,SINGLE_VARIANCE,cluster_corner,10,0.54897027
10,SINGLE_VARIANCE,cluster_corner,11,0.58169870
10,SINGLE_VARIANCE,cluster_corner,12,0.14669630
10,SINGLE_VARIANCE,cluster_corner,13,0.13206676
10,SINGLE_VARIANCE,cluster_corner,14,0.56624493
10,SINGLE_VARIANCE,cluster_corner,15,0.28989598
10,SINGLE_VARIANCE,cluster_corner,16,0.15316811
10,SINGLE_VARIANCE,cluster_corner,17,0.19712022
10,SINGLE_VARIANCE,cluster_corner,18,0.05876332
10,SINGLE_VARIANCE,cluster_corner,19,0.14474286
10,SINGLE_VARIANCE,cluster_corner,20,0.52912821
10,SINGLE_VARIANCE,cluster_corner,21,0.15685239
10,SINGLE_VARIANCE,cluster_corner,22,0.32451408
10,SINGLE_VARIANCE,cluster_corner,23,0.56019971
10,SINGLE_VARIANCE,cluster_corner,24,0.56815672
15,SINGLE_VARIANCE,random,0,0.63424980
15,SINGLE_VARIANCE,random,1,0.59716181
15,SINGLE_VARIANCE,random,2,0.30094765
15,SINGLE_VARIANCE,random,3,0.58631009
15,SINGLE_VARIANCE,random,4,0.18604869
15,SINGLE_VARIANCE,random,5,0.64830262
15,SINGLE_VARIANCE,random,6,0.33404339
15,SINGLE_VARIANCE,random,7,0.21329109
15,SINGLE_VARIANCE,random,8,0.26132616
15,SINGLE_VARIANCE,random,9,0.20422945
15,SINGLE_VARIANCE,random,10,0.69360048
15,SINGLE_VARIANCE,random,11,0.61583591
15,SINGLE_VARIANCE,random,12,0.60589308
15,SINGLE_VARIANCE,random,13,0.27777127
15,SINGLE_VARIANCE,random,14,0.59298877
15,SINGLE_VARIANCE,random,15,0.42431015
15,SINGLE_VARIANCE,random,16,0.26572423
15,SINGLE_VARIANCE,random,17,0.63535256
15,SINGLE_VARIANCE,random,18,0.22264734
15,SINGLE_VARIANCE,random,19,0.62728012
15,SINGLE_VARIANCE,random,20,0.66656628
15,SINGLE_VARIANCE,random,21,0.26784412
15,SINGLE_VARIANCE,random,22,0.29200312
15,SINGLE_VARIANCE,random,23,0.57001887
15,SINGLE_VARIANCE,random,24,0.64054560
15,SINGLE_VARIANCE,cluster_corner,0,0.63051123
15,SINGLE_VARIANCE,cluster_corner,1,0.47717349
15,SINGLE_VARIANCE,cluster_corner,2,0.33419950
15,SINGLE_VARIANCE,cluster_corner,3,0.60199275
15,SINGLE_VARIANCE,cluster_corner,4,0.30458347
15,SINGLE_VARIANCE,cluster_corner,5,0.54215555
15,SINGLE_VARIANCE,cluster_corner,6,0.33654463
15,SINGLE_VARIANCE,cluster_corner,7,0.58267144
15,SINGLE_VARIANCE,cluster_corner,8,0.21847635
15,SINGLE_VARIANCE,cluster_corner,9,0.92802698
15,SINGLE_VARIANCE,cluster_corner,10,0.60969712
15,SINGLE_VARIANCE,cluster_corner,11,0.56471529
15,SINGLE_VARIANCE,cluster_corner,12,0.66924481
15,SINGLE_VARIANCE,cluster_corner,13,0.26462656
15,SINGLE_VARIANCE,cluster_corner,14,0.59807017
15,SINGLE_VARIANCE,cluster_corner,15,0.41622628
15,SINGLE_VARIANCE,cluster_corner,16,0.20669452
15,SINGLE_VARIANCE,cluster_corner,17,0.25116823
15,SINGLE_VARIANCE,cluster_corner,18,0.30446192
15,SINGLE_VARIANCE,cluster_corner,19,0.10484177
15,SINGLE_VARIANCE,cluster_corner,20,0.63361852
15,SINGLE_VARIANCE,cluster_corner,21,0.85642768
15,SINGLE_VARIANCE,cluster_corner,22,0.62677945
15,SINGLE_VARIANCE,cluster_corner,23,0.65658482
15,SINGLE_VARIANCE,cluster_corner,24,0.62398511
20,SINGLE_VARIANCE,random,0,0.65673466
20,SINGLE_VARIANCE,random,1,0.68208122
20,SINGLE_VARIANCE,random,2,0.33954817
20,SINGLE_VARIANCE,random,3,0.71638895
