init_scheme,n_circles,seed,final_best,final_gap
random,7,0,0.50834024,0.0514242
random,7,1,0.50125408,0.06464715
random,7,2,0.50012583,0.06675249
random,7,3,0.50361945,0.06023331
random,7,4,0.51153835,0.04545645
random,7,5,0.4996038,0.06772662
random,7,6,0.50767069,0.05267359
random,7,7,0.50751272,0.05296837
random,7,8,0.50357189,0.06032206
random,7,9,0.51807013,0.03326797
random,7,10,0.50351743,0.06042369
random,7,11,0.52000961,0.02964885
random,7,12,0.5065346,0.05479357
random,7,13,0.5008517,0.06539801
random,7,14,0.53081152,0.00949223
random,7,15,0.50542516,0.05686382
random,7,16,0.5035728,0.06032037
random,7,17,0.50905086,0.05009817
random,7,18,0.50303625,0.06132158
random,7,19,0.52696702,0.01666616
random,7,20,0.51499703,0.03900247
random,7,21,0.52657993,0.01738847
random,7,22,0.52666503,0.01722968
random,7,23,0.50213792,0.06299788
random,7,24,0.5058402,0.05608934
random,10,0,0.34492334,0.18124831
random,10,1,0.33383733,0.2075634
random,10,2,0.35867446,0.14860699
random,10,3,0.19923437,0.52707324
random,10,4,0.37845039,0.10166444
random,10,5,0.38968284,0.07500175
random,10,6,0.37535536,0.10901119
random,10,7,0.3353745,0.20391459
random,10,8,0.1692841,0.59816682
random,10,9,0.3496381,0.17005678
random,10,10,0.19536687,0.5362536
random,10,11,0.36624238,0.13064286
random,10,12,0.36743936,0.12780157
random,10,13,0.16736385,0.60272496
random,10,14,0.36593011,0.13138409
random,10,15,0.34156917,0.18921016
random,10,16,0.36260426,0.13927873
random,10,17,0.35207033,0.16428335
random,10,18,0.34833955,0.17313918
random,10,19,0.35284545,0.16244344
random,10,20,0.37815386,0.10236832
random,10,21,0.38921652,0.07610867
random,10,22,0.35934095,0.14702493
random,10,23,0.34761703,0.17485423
random,10,24,0.34263896,0.18667079
random,15,0,0.11902735,0.65102946
random,15,1,0.13136582,0.61485491
random,15,2,0.12749866,0.62619284
random,15,3,0.26893495,0.21152264
random,15,4,0.25322022,0.25759587
random,15,5,0.13167933,0.61393574
random,15,6,0.13816036,0.59493433
random,15,7,0.13339944,0.60889263
random,15,8,0.13983832,0.59001479
random,15,9,0.12331381,0.63846221
random,15,10,0.12739879,0.62648565
random,15,11,0.16325405,0.52136336
random,15,12,0.27906385,0.18182619
random,15,13,0.25472949,0.25317093
random,15,14,0.13000974,0.61883072
random,15,15,0.2541683,0.25481625
random,15,16,0.13019459,0.61828877
random,15,17,0.2532146,0.25761235
random,15,18,0.12117436,0.64473475
random,15,19,0.13937331,0.59137813
random,15,20,0.28108032,0.17591421
random,15,21,0.13525287,0.60345866
random,15,22,0.13221244,0.61237273
random,15,23,0.12401038,0.63641997
random,15,24,0.25123611,0.26341299
random,20,0,0.08870406,0.69050783
random,20,1,0.08779461,0.69368095
random,20,2,0.09667476,0.66269773
random,20,3,0.10354758,0.63871817
random,20,4,0.09564196,0.6663012
random,20,5,0.0872239,0.69567216
random,20,6,0.10416821,0.63655279
random,20,7,0.09776661,0.65888823
random,20,8,0.1050354,0.63352712
random,20,9,0.09647292,0.66340195
random,20,10,0.08461356,0.70477977
random,20,11,0.09451435,0.67023548
random,20,12,0.09383269,0.67261383
random,20,13,0.20904398,0.27063684
random,20,14,0.08624458,0.69908908
random,20,15,0.10977855,0.61697805
random,20,16,0.22112058,0.22850109
random,20,17,0.10237498,0.64280942
random,20,18,0.10604814,0.62999361
random,20,19,0.2172158,0.24212501
random,20,20,0.09884535,0.65512445
random,20,21,0.08529764,0.70239298
random,20,22,0.09138745,0.68114537
random,20,23,0.09306957,0.6752764
random,20,24,0.09885453,0.65509241
lhs,7,0,0.52346189,0.02320682
lhs,7,1,0.52127181,0.02729355
lhs,7,2,0.50248114,0.06235742
lhs,7,3,0.51468215,0.03959004
lhs,7,4,0.51915596,0.03124178
lhs,7,5,0.50698872,0.05394616
lhs,7,6,0.5172864,0.03473044
lhs,7,7,0.50380164,0.05989335
lhs,7,8,0.49045181,0.08480446
lhs,7,9,0.52402095,0.0221636
lhs,7,10,0.51180242,0.04496369
lhs,7,11,0.50043833,0.06616937
lhs,7,12,0.50639543,0.05505326
lhs,7,13,0.50790963,0.05222772
lhs,7,14,0.50833338,0.051437
lhs,7,15,0.50296748,0.0614499
lhs,7,16,0.50110747,0.06492072
lhs,7,17,0.52070558,0.02835016
lhs,7,18,0.52112662,0.02756448
lhs,7,19,0.50311767,0.06116965
lhs,7,20,0.5097985,0.04870305
lhs,7,21,0.50723671,0.05348341
lhs,7,22,0.51487983,0.03922115
lhs,7,23,0.50765901,0.0526954
lhs,7,24,0.49623347,0.07401575
lhs,10,0,0.19307309,0.54169841
lhs,10,1,0.34636016,0.17783769
lhs,10,2,0.37669875,0.10582236
lhs,10,3,0.38682456,0.08178651
lhs,10,4,0.35976971,0.14600717
lhs,10,5,0.34385817,0.18377673
lhs,10,6,0.35379266,0.16019503
lhs,10,7,0.37071109,0.12003539
lhs,10,8,0.34225169,0.18759006
lhs,10,9,0.38109084,0.09539677
lhs,10,10,0.36493101,0.13375569
lhs,10,11,0.38582101,0.08416867
lhs,10,12,0.37052891,0.12046783
lhs,10,13,0.38206742,0.09307864
lhs,10,14,0.36186588,0.14103145
lhs,10,15,0.18668308,0.5568665
lhs,10,16,0.37838561,0.10181822
lhs,10,17,0.19374446,0.54010476
lhs,10,18,0.36521931,0.13307135
lhs,10,19,0.38951111,0.0754094
lhs,10,20,0.36333899,0.1375347
lhs,10,21,0.3838345,0.08888408
lhs,10,22,0.36493563,0.13374472
lhs,10,23,0.36080724,0.14354436
lhs,10,24,0.33896358,0.19539511
lhs,15,0,0.15763232,0.53784542
lhs,15,1,0.13423631,0.60643905
lhs,15,2,0.12445872,0.6351055
lhs,15,3,0.26960898,0.20954648
lhs,15,4,0.13360642,0.6082858
lhs,15,5,0.22595246,0.3375409
lhs,15,6,0.26888497,0.21166915
lhs,15,7,0.1099413,0.67766843
lhs,15,8,0.25664397,0.24755796
lhs,15,9,0.13393853,0.60731211
lhs,15,10,0.12214837,0.64187911
lhs,15,11,0.26182743,0.23236082
lhs,15,12,0.1226486,0.6404125
lhs,15,13,0.13924099,0.59176606
lhs,15,14,0.13008253,0.61861733
lhs,15,15,0.12917571,0.62127598
lhs,15,16,0.25319488,0.25767018
lhs,15,17,0.28732792,0.15759717
lhs,15,18,0.12020796,0.6475681
lhs,15,19,0.12445126,0.63512738
lhs,15,20,0.1200628,0.64799367
lhs,15,21,0.12706146,0.62747466
lhs,15,22,0.11836371,0.65297517
lhs,15,23,0.10880545,0.68099856
lhs,15,24,0.11681662,0.657511
lhs,20,0,0.10832512,0.62204916
lhs,20,1,0.09052691,0.68414785
lhs,20,2,0.10270822,0.64164673
lhs,20,3,0.09554944,0.66662401
lhs,20,4,0.10161189,0.64547187
lhs,20,5,0.09723169,0.66075459
lhs,20,6,0.09178534,0.67975713
lhs,20,7,0.14899417,0.48015314
lhs,20,8,0.1056125,0.63151358
lhs,20,9,0.1183782,0.58697352
lhs,20,10,0.1081551,0.62264233
lhs,20,11,0.10468306,0.63475644
lhs,20,12,0.21254019,0.25843843
