treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,SINGLE_VARIANCE,lhs,comma,random,0.52346189,0.02320682,100200,477,,,
baseline,WP1,7,1,SINGLE_VARIANCE,lhs,comma,random,0.52127181,0.02729355,100200,477,,,
baseline,WP1,7,2,SINGLE_VARIANCE,lhs,comma,random,0.50248114,0.06235742,100200,477,,,
baseline,WP1,7,3,SINGLE_VARIANCE,lhs,comma,random,0.51468215,0.03959004,100200,477,,,
baseline,WP1,7,4,SINGLE_VARIANCE,lhs,comma,random,0.51915596,0.03124178,100200,477,,,
baseline,WP1,7,5,SINGLE_VARIANCE,lhs,comma,random,0.50698872,0.05394616,100200,477,,,
baseline,WP1,7,6,SINGLE_VARIANCE,lhs,comma,random,0.5172864,0.03473044,100200,477,,,
baseline,WP1,7,7,SINGLE_VARIANCE,lhs,comma,random,0.50380164,0.05989335,100200,477,,,
baseline,WP1,7,8,SINGLE_VARIANCE,lhs,comma,random,0.49045181,0.08480446,100200,477,,,
baseline,WP1,7,9,SINGLE_VARIANCE,lhs,comma,random,0.52402095,0.0221636,100200,477,,,
baseline,WP1,10,0,SINGLE_VARIANCE,lhs,comma,random,0.19307309,0.54169841,100200,477,,,
baseline,WP1,10,1,SINGLE_VARIANCE,lhs,comma,random,0.34636016,0.17783769,100200,477,,,
baseline,WP1,10,2,SINGLE_VARIANCE,lhs,comma,random,0.37669875,0.10582236,100200,477,,,
baseline,WP1,10,3,SINGLE_VARIANCE,lhs,comma,random,0.38682456,0.08178651,100200,477,,,
baseline,WP1,10,4,SINGLE_VARIANCE,lhs,comma,random,0.35976971,0.14600717,100200,477,,,
baseline,WP1,10,5,SINGLE_VARIANCE,lhs,comma,random,0.34385817,0.18377673,100200,477,,,
baseline,WP1,10,6,SINGLE_VARIANCE,lhs,comma,random,0.35379266,0.16019503,100200,477,,,
baseline,WP1,10,7,SINGLE_VARIANCE,lhs,comma,random,0.37071109,0.12003539,100200,477,,,
baseline,WP1,10,8,SINGLE_VARIANCE,lhs,comma,random,0.34225169,0.18759006,100200,477,,,
baseline,WP1,10,9,SINGLE_VARIANCE,lhs,comma,random,0.38109084,0.09539677,100200,477,,,
baseline,WP1,15,0,SINGLE_VARIANCE,lhs,comma,random,0.15763232,0.53784542,100200,477,,,
baseline,WP1,15,1,SINGLE_VARIANCE,lhs,comma,random,0.13423631,0.60643905,100200,477,,,
baseline,WP1,15,2,SINGLE_VARIANCE,lhs,comma,random,0.12445872,0.6351055,100200,477,,,
baseline,WP1,15,3,SINGLE_VARIANCE,lhs,comma,random,0.26960898,0.20954648,100200,477,,,
baseline,WP1,15,4,SINGLE_VARIANCE,lhs,comma,random,0.13360642,0.6082858,100200,477,,,
baseline,WP1,15,5,SINGLE_VARIANCE,lhs,comma,random,0.22595246,0.3375409,100200,477,,,
