treatment,wp,n_circles,metric,n_base,n_arm,base_median,arm_median,effect,ci_lo,ci_hi,a12,p_value,marker,note
circle_pair,WP4,7,final_gap,50,50,0.051832,0.471097,-0.419265,-0.437732,-0.394494,0.0,7.07e-18,***,
circle_pair,WP4,7,evals_to_1e-02,2,0,,,,,,,,,insufficient data (few runs reached target)
circle_pair,WP4,10,final_gap,50,50,0.135841,0.531469,-0.395629,-0.408414,-0.378116,0.04,2.42e-15,***,
circle_pair,WP4,10,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
circle_pair,WP4,15,final_gap,25,25,0.290562,0.620374,-0.329812,-0.34738,-0.299269,0.0,1.42e-09,***,
circle_pair,WP4,15,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
circle_pair,WP4,20,final_gap,25,25,0.387672,0.65923,-0.271558,-0.326394,-0.237726,0.006,2.29e-09,***,
circle_pair,WP4,20,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
coordinate,WP4,7,final_gap,50,50,0.051832,0.451508,-0.399675,-0.425479,-0.379452,0.0,7.07e-18,***,
coordinate,WP4,7,evals_to_1e-02,2,0,,,,,,,,,insufficient data (few runs reached target)
coordinate,WP4,10,final_gap,50,50,0.135841,0.531503,-0.395662,-0.419453,-0.373661,0.036,1.24e-15,***,
coordinate,WP4,10,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
coordinate,WP4,15,final_gap,25,25,0.290562,0.607986,-0.317424,-0.337455,-0.26733,0.0,1.42e-09,***,
coordinate,WP4,15,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
coordinate,WP4,20,final_gap,25,25,0.387672,0.668251,-0.280579,-0.329391,-0.251904,0.002,1.60e-09,***,
coordinate,WP4,20,evals_to_1e-02,0,0,,,,,,,,,insufficient data (few runs reached target)
