treatment,wp,n_circles,seed,strategy,init,selection_scheme,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP4,7,0,SINGLE_VARIANCE,lhs,comma,0.51331933,0.0421331,20190,96,,,
baseline,WP4,7,1,SINGLE_VARIANCE,lhs,comma,0.51784018,0.03369706,20190,96,,,
baseline,WP4,7,2,SINGLE_VARIANCE,lhs,comma,0.50304998,0.06129596,20190,96,,,
baseline,WP4,7,3,SINGLE_VARIANCE,lhs,comma,0.50386651,0.05977229,20190,96,,,
baseline,WP4,7,4,SINGLE_VARIANCE,lhs,comma,0.5137437,0.04134121,20190,96,,,
baseline,WP4,7,5,SINGLE_VARIANCE,lhs,comma,0.51928257,0.03100552,20190,96,,,
baseline,WP4,7,6,SINGLE_VARIANCE,lhs,comma,0.50908807,0.05002872,20190,96,,,
baseline,WP4,7,7,SINGLE_VARIANCE,lhs,comma,0.52680756,0.01696372,20190,96,13260,,
baseline,WP4,7,8,SINGLE_VARIANCE,lhs,comma,0.50389398,0.05972103,20190,96,,,
baseline,WP4,7,9,SINGLE_VARIANCE,lhs,comma,0.50933399,0.04956983,20190,96,,,
baseline,WP4,10,0,SINGLE_VARIANCE,lhs,comma,0.39997818,0.05056349,20190,96,,,
baseline,WP4,10,1,SINGLE_VARIANCE,lhs,comma,0.37617711,0.10706059,20190,96,,,
baseline,WP4,10,2,SINGLE_VARIANCE,lhs,comma,0.38874049,0.07723863,20190,96,,,
baseline,WP4,10,3,SINGLE_VARIANCE,lhs,comma,0.37670179,0.10581514,20190,96,,,
baseline,WP4,10,4,SINGLE_VARIANCE,lhs,comma,0.38079073,0.09610915,20190,96,,,
baseline,WP4,10,5,SINGLE_VARIANCE,lhs,comma,0.38502997,0.08604637,20190,96,,,
baseline,WP4,10,6,SINGLE_VARIANCE,lhs,comma,0.3988798,0.05317073,20190,96,,,
baseline,WP4,10,7,SINGLE_VARIANCE,lhs,comma,0.40139509,0.04720014,20190,96,,,
baseline,WP4,10,8,SINGLE_VARIANCE,lhs,comma,0.38693885,0.08151522,20190,96,,,
baseline,WP4,10,9,SINGLE_VARIANCE,lhs,comma,0.39103564,0.07179059,20190,96,,,
sigma_single_recomb_coord,WP4,7,0,SINGLE_VARIANCE,lhs,comma,0.29491259,0.44968562,20190,96,,,
sigma_single_recomb_coord,WP4,7,1,SINGLE_VARIANCE,lhs,comma,0.31416725,0.41375593,20190,96,,,
sigma_single_recomb_coord,WP4,7,2,SINGLE_VARIANCE,lhs,comma,0.23723626,0.55731111,20190,96,,,
sigma_single_recomb_coord,WP4,7,3,SINGLE_VARIANCE,lhs,comma,0.31934746,0.40408953,20190,96,,,
sigma_single_recomb_coord,WP4,7,4,SINGLE_VARIANCE,lhs,comma,0.26536139,0.50482891,20190,96,,,
sigma_single_recomb_coord,WP4,7,5,SINGLE_VARIANCE,lhs,comma,0.29052953,0.45786451,20190,96,,,
sigma_single_recomb_coord,WP4,7,6,SINGLE_VARIANCE,lhs,comma,0.26698751,0.50179452,20190,96,,,
sigma_single_recomb_coord,WP4,7,7,SINGLE_VARIANCE,lhs,comma,0.26690517,0.50194817,20190,96,,,
sigma_single_recomb_coord,WP4,7,8,SINGLE_VARIANCE,lhs,comma,0.2858796,0.46654141,20190,96,,,
sigma_single_recomb_coord,WP4,7,9,SINGLE_VARIANCE,lhs,comma,0.29077573,0.45740509,20190,96,,,
sigma_single_recomb_coord,WP4,10,0,SINGLE_VARIANCE,lhs,comma,0.20770729,0.50696089,20190,96,,,
sigma_single_recomb_coord,WP4,10,1,SINGLE_VARIANCE,lhs,comma,0.19111968,0.54633524,20190,96,,,
sigma_single_recomb_coord,WP4,10,2,SINGLE_VARIANCE,lhs,comma,0.20812648,0.50596584,20190,96,,,
sigma_single_recomb_coord,WP4,10,3,SINGLE_VARIANCE,lhs,comma,0.19435868,0.53864676,20190,96,,,
sigma_single_recomb_coord,WP4,10,4,SINGLE_VARIANCE,lhs,comma,0.23746275,0.43632974,20190,96,,,
sigma_single_recomb_coord,WP4,10,5,SINGLE_VARIANCE,lhs,comma,0.2408724,0.42823618,20190,96,,,
sigma_single_recomb_coord,WP4,10,6,SINGLE_VARIANCE,lhs,comma,0.21463985,0.49050494,20190,96,,,
sigma_single_recomb_coord,WP4,10,7,SINGLE_VARIANCE,lhs,comma,0.18700728,0.55609693,20190,96,,,
sigma_single_recomb_coord,WP4,10,8,SINGLE_VARIANCE,lhs,comma,0.20577111,0.51155685,20190,96,,,
sigma_single_recomb_coord,WP4,10,9,SINGLE_VARIANCE,lhs,comma,0.21439677,0.49108195,20190,96,,,
sigma_single_recomb_pair,WP4,7,0,SINGLE_VARIANCE,lhs,comma,0.26144268,0.51214132,20190,96,,,
sigma_single_recomb_pair,WP4,7,1,SINGLE_VARIANCE,lhs,comma,0.2980616,0.44380948,20190,96,,,
sigma_single_recomb_pair,WP4,7,2,SINGLE_VARIANCE,lhs,comma,0.26600327,0.50363115,20190,96,,,
sigma_single_recomb_pair,WP4,7,3,SINGLE_VARIANCE,lhs,comma,0.33296959,0.37867029,20190,96,,,
sigma_single_recomb_pair,WP4,7,4,SINGLE_VARIANCE,lhs,comma,0.29066319,0.4576151,20190,96,,,
sigma_single_recomb_pair,WP4,7,5,SINGLE_VARIANCE,lhs,comma,0.29102177,0.45694599,20190,96,,,
sigma_single_recomb_pair,WP4,7,6,SINGLE_VARIANCE,lhs,comma,0.28876131,0.46116405,20190,96,,,
sigma_single_recomb_pair,WP4,7,7,SINGLE_VARIANCE,lhs,comma,0.27861875,0.48009034,20190,96,,,
sigma_single_recomb_pair,WP4,7,8,SINGLE_VARIANCE,lhs,comma,0.30805029,0.42517034,20190,96,,,
sigma_single_recomb_pair,WP4,7,9,SINGLE_VARIANCE,lhs,comma,0.32369065,0.39598503,20190,96,,,
sigma_single_recomb_pair,WP4,10,0,SINGLE_VARIANCE,lhs,comma,0.17571567,0.58290007,20190,96,,,
sigma_single_recomb_pair,WP4,10,1,SINGLE_VARIANCE,lhs,comma,0.19034854,0.54816573,20190,96,,,
sigma_single_recomb_pair,WP4,10,2,SINGLE_VARIANCE,lhs,comma,0.21523491,0.48909243,20190,96,,,
sigma_single_recomb_pair,WP4,10,3,SINGLE_VARIANCE,lhs,comma,0.20491858,0.51358051,20190,96,,,
sigma_single_recomb_pair,WP4,10,4,SINGLE_VARIANCE,lhs,comma,0.23345354,0.44584649,20190,96,,,
sigma_single_recomb_pair,WP4,10,5,SINGLE_VARIANCE,lhs,comma,0.19718856,0.53192942,20190,96,,,
sigma_single_recomb_pair,WP4,10,6,SINGLE_VARIANCE,lhs,comma,0.19537355,0.53623774,20190,96,,,
sigma_single_recomb_pair,WP4,10,7,SINGLE_VARIANCE,lhs,comma,0.21836559,0.48166108,20190,96,,,
sigma_single_recomb_pair,WP4,10,8,SINGLE_VARIANCE,lhs,comma,0.18461485,0.5617759,20190,96,,,
sigma_single_recomb_pair,WP4,10,9,SINGLE_VARIANCE,lhs,comma,0.22270273,0.4713659,20190,96,,,
