treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,STACK,7,0,SINGLE_VARIANCE,lhs,comma,off,random,0.52346684,0.02319757,200160,953,,,
baseline,STACK,7,1,SINGLE_VARIANCE,lhs,comma,off,random,0.52128606,0.02726697,200160,953,,,
baseline,STACK,7,2,SINGLE_VARIANCE,lhs,comma,off,random,0.50248475,0.06235069,200160,953,,,
baseline,STACK,7,3,SINGLE_VARIANCE,lhs,comma,off,random,0.51470219,0.03955264,200160,953,,,
baseline,STACK,7,4,SINGLE_VARIANCE,lhs,comma,off,random,0.51916653,0.03122207,200160,953,,,
baseline,STACK,7,5,SINGLE_VARIANCE,lhs,comma,off,random,0.50701206,0.05390261,200160,953,,,
baseline,STACK,7,6,SINGLE_VARIANCE,lhs,comma,off,random,0.51730144,0.03470237,200160,953,,,
baseline,STACK,7,7,SINGLE_VARIANCE,lhs,comma,off,random,0.50380706,0.05988322,200160,953,,,
baseline,STACK,7,8,SINGLE_VARIANCE,lhs,comma,off,random,0.49046848,0.08477335,200160,953,,,
baseline,STACK,7,9,SINGLE_VARIANCE,lhs,comma,off,random,0.52402933,0.02214795,200160,953,,,
baseline,STACK,7,10,SINGLE_VARIANCE,lhs,comma,off,random,0.51181835,0.04493395,200160,953,,,
baseline,STACK,7,11,SINGLE_VARIANCE,lhs,comma,off,random,0.50043911,0.0661679,200160,953,,,
baseline,STACK,7,12,SINGLE_VARIANCE,lhs,comma,off,random,0.5064009,0.05504305,200160,953,,,
baseline,STACK,7,13,SINGLE_VARIANCE,lhs,comma,off,random,0.50791563,0.05221653,200160,953,,,
baseline,STACK,7,14,SINGLE_VARIANCE,lhs,comma,off,random,0.50834265,0.05141971,200160,953,,,
baseline,STACK,7,15,SINGLE_VARIANCE,lhs,comma,off,random,0.50297028,0.06144468,200160,953,,,
baseline,STACK,7,16,SINGLE_VARIANCE,lhs,comma,off,random,0.50110889,0.06491809,200160,953,,,
baseline,STACK,7,17,SINGLE_VARIANCE,lhs,comma,off,random,0.52072621,0.02831166,200160,953,,,
baseline,STACK,7,18,SINGLE_VARIANCE,lhs,comma,off,random,0.52113565,0.02754764,200160,953,,,
baseline,STACK,7,19,SINGLE_VARIANCE,lhs,comma,off,random,0.50312396,0.06115791,200160,953,,,
baseline,STACK,7,20,SINGLE_VARIANCE,lhs,comma,off,random,0.50980679,0.04868758,200160,953,,,
baseline,STACK,7,21,SINGLE_VARIANCE,lhs,comma,off,random,0.50724349,0.05347076,200160,953,,,
baseline,STACK,7,22,SINGLE_VARIANCE,lhs,comma,off,random,0.5148872,0.0392074,200160,953,,,
baseline,STACK,7,23,SINGLE_VARIANCE,lhs,comma,off,random,0.50766495,0.05268431,200160,953,,,
baseline,STACK,7,24,SINGLE_VARIANCE,lhs,comma,off,random,0.49625361,0.07397816,200160,953,,,
baseline,STACK,10,0,SINGLE_VARIANCE,lhs,comma,off,random,0.37209323,0.11675458,200160,953,,,
baseline,STACK,10,1,SINGLE_VARIANCE,lhs,comma,off,random,0.34637403,0.17780477,200160,953,,,
baseline,STACK,10,2,SINGLE_VARIANCE,lhs,comma,off,random,0.37671543,0.10578275,200160,953,,,
baseline,STACK,10,3,SINGLE_VARIANCE,lhs,comma,off,random,0.38684069,0.08174822,200160,953,,,
baseline,STACK,10,4,SINGLE_VARIANCE,lhs,comma,off,random,0.35979109,0.14595643,200160,953,,,
baseline,STACK,10,5,SINGLE_VARIANCE,lhs,comma,off,random,0.3438641,0.18376265,200160,953,,,
baseline,STACK,10,6,SINGLE_VARIANCE,lhs,comma,off,random,0.35383604,0.16009203,200160,953,,,
baseline,STACK,10,7,SINGLE_VARIANCE,lhs,comma,off,random,0.37072621,0.11999951,200160,953,,,
baseline,STACK,10,8,SINGLE_VARIANCE,lhs,comma,off,random,0.3422666,0.18755466,200160,953,,,
baseline,STACK,10,9,SINGLE_VARIANCE,lhs,comma,off,random,0.38110439,0.0953646,200160,953,,,
baseline,STACK,10,10,SINGLE_VARIANCE,lhs,comma,off,random,0.36494649,0.13371895,200160,953,,,
baseline,STACK,10,11,SINGLE_VARIANCE,lhs,comma,off,random,0.38583787,0.08412863,200160,953,,,
baseline,STACK,10,12,SINGLE_VARIANCE,lhs,comma,off,random,0.37054608,0.12042708,200160,953,,,
baseline,STACK,10,13,SINGLE_VARIANCE,lhs,comma,off,random,0.38208092,0.09304658,200160,953,,,
baseline,STACK,10,14,SINGLE_VARIANCE,lhs,comma,off,random,0.36188232,0.14099243,200160,953,,,
baseline,STACK,10,15,SINGLE_VARIANCE,lhs,comma,off,random,0.21547803,0.48851533,200160,953,,,
baseline,STACK,10,16,SINGLE_VARIANCE,lhs,comma,off,random,0.37839907,0.10178628,200160,953,,,
baseline,STACK,10,17,SINGLE_VARIANCE,lhs,comma,off,random,0.21569686,0.48799589,200160,953,,,
baseline,STACK,10,18,SINGLE_VARIANCE,lhs,comma,off,random,0.36523281,0.1330393,200160,953,,,
baseline,STACK,10,19,SINGLE_VARIANCE,lhs,comma,off,random,0.38952107,0.07538575,200160,953,,,
baseline,STACK,10,20,SINGLE_VARIANCE,lhs,comma,off,random,0.3633427,0.13752589,200160,953,,,
baseline,STACK,10,21,SINGLE_VARIANCE,lhs,comma,off,random,0.3838521,0.08884229,200160,953,,,
baseline,STACK,10,22,SINGLE_VARIANCE,lhs,comma,off,random,0.3649445,0.13372367,200160,953,,,
baseline,STACK,10,23,SINGLE_VARIANCE,lhs,comma,off,random,0.3608179,0.14351906,200160,953,,,
baseline,STACK,10,24,SINGLE_VARIANCE,lhs,comma,off,random,0.33897623,0.19536509,200160,953,,,
