n,population_size,num_children,lam,selection_scheme,seed,reported_fit,ceiling_fit,reported_gap_pct,ceiling_gap_pct
20,15,7,105,comma,0,0.09709783361794244,0.13617429479864746,66.122,52.488
20,15,7,105,comma,1,0.09643176863045416,0.13841883037799385,66.355,51.705
20,15,7,105,comma,2,0.09515852095057857,0.13682155439372073,66.799,52.262
20,15,7,105,comma,3,0.0923770705807457,0.13958557665447668,67.769,51.298
20,15,7,105,comma,4,0.08465995772426871,0.1399259149413005,70.462,51.179
20,15,7,105,comma,5,0.09011929620752852,0.1378693959999357,68.557,51.897
20,15,7,105,comma,6,0.20852954761368014,0.2085295691172834,27.243,27.243
20,15,7,105,comma,7,0.0798495519499343,0.1368481013454282,72.14,52.253
20,15,7,105,plus,0,0.1448239216481037,0.1448239216481037,49.47,49.47
20,15,7,105,plus,1,0.1458471030237894,0.1458471030237894,49.113,49.113
20,15,7,105,plus,2,0.1427388893363953,0.1427388893363953,50.198,50.198
20,15,7,105,plus,3,0.13971258066060468,0.13971258066060468,51.254,51.254
20,15,7,105,plus,4,0.13896132899165567,0.13896132899165567,51.516,51.516
20,15,7,105,plus,5,0.148179223278784,0.148179223278784,48.3,48.3
20,15,7,105,plus,6,0.13533552662475135,0.13533552662475135,52.781,52.781
20,15,7,105,plus,7,0.13638331377659832,0.13638331377659832,52.415,52.415
20,30,7,210,comma,0,0.1886466672903384,0.1886466672903384,34.18,34.18
20,30,7,210,comma,1,0.09215682174068594,0.1431928159957683,67.846,50.039
20,30,7,210,comma,2,0.09879755704223057,0.13136878296342894,65.529,54.165
20,30,7,210,comma,3,0.09455148647145596,0.13906731387997584,67.011,51.479
20,30,7,210,comma,4,0.08726492906557258,0.1396157849118737,69.553,51.287
20,30,7,210,comma,5,0.09523716218189965,0.13523667479559925,66.771,52.815
20,30,7,210,comma,6,0.08956727695641428,0.1376971965444062,68.75,51.957
20,30,7,210,comma,7,0.10308933540676189,0.14371603817178888,64.032,49.857
20,30,7,210,plus,0,0.14705862979211878,0.14705862979211878,48.691,48.691
20,30,7,210,plus,1,0.13153242611404548,0.13153242611404548,54.108,54.108
20,30,7,210,plus,2,0.1373134193914913,0.1373134193914913,52.091,52.091
20,30,7,210,plus,3,0.13926509241914786,0.13926509241914786,51.41,51.41
20,30,7,210,plus,4,0.13011162952690322,0.13011162952690322,54.604,54.604
20,30,7,210,plus,5,0.1325109057412964,0.1325109057412964,53.766,53.766
20,30,7,210,plus,6,0.14147582506136713,0.14147582506136713,50.638,50.638
20,30,7,210,plus,7,0.1293152331095141,0.1293152331095141,54.881,54.881
20,60,7,420,comma,0,0.1094019206829395,0.14747607391574172,61.829,48.545
20,60,7,420,comma,1,0.09155252649068446,0.1342950303682742,68.057,53.144
20,60,7,420,comma,2,0.09332308493820643,0.1444344081112,67.439,49.606
20,60,7,420,comma,3,0.11281926111278172,0.1432529991008901,60.637,50.018
20,60,7,420,comma,4,0.09285673719542442,0.1399547543578164,67.602,51.169
20,60,7,420,comma,5,0.11852395596406984,0.14204652491566552,58.646,50.439
20,60,7,420,comma,6,0.10338439497817653,0.13759821067258995,63.929,51.991
20,60,7,420,comma,7,0.09990945087354179,0.1403301072246555,65.141,51.038
20,60,7,420,plus,0,0.135832500199088,0.135832500199088,52.607,52.607
20,60,7,420,plus,1,0.13370601224057885,0.13370601224057885,53.349,53.349
20,60,7,420,plus,2,0.13300519789113566,0.13300519789113566,53.594,53.594
20,60,7,420,plus,3,0.13640486912477753,0.13640486912477753,52.408,52.408
20,60,7,420,plus,4,0.13506042274272695,0.13506042274272695,52.877,52.877
20,60,7,420,plus,5,0.14339906589242218,0.14339906589242218,49.967,49.967
20,60,7,420,plus,6,0.13528551614606588,0.13528551614606588,52.798,52.798
20,60,7,420,plus,7,0.13845303045341587,0.13845303045341587,51.693,51.693
20,120,7,840,comma,0,0.12326882368055436,0.13669532239772794,56.991,52.306
20,120,7,840,comma,1,0.11745174245068835,0.148295504121454,59.021,48.259
20,120,7,840,comma,2,0.10068020492660848,0.14324441600393845,64.872,50.021
20,120,7,840,comma,3,0.11682711273799508,0.1416687731747615,59.239,50.571
20,120,7,840,comma,4,0.10836929093557564,0.13570568709688693,62.19,52.652
20,120,7,840,comma,5,0.09729830687789782,0.13816326171444718,66.052,51.794
20,120,7,840,comma,6,0.1033106719924702,0.1361682864867434,63.954,52.49
20,120,7,840,comma,7,0.10647245837997656,0.1432157279453458,62.851,50.031
20,120,7,840,plus,0,0.13508871401848516,0.13508871401848516,52.867,52.867
20,120,7,840,plus,1,0.13719215311300567,0.13719215311300567,52.133,52.133
20,120,7,840,plus,2,0.12923256435705957,0.12923256435705957,54.91,54.91
20,120,7,840,plus,3,0.13708841175987052,0.13708841175987052,52.169,52.169
20,120,7,840,plus,4,0.1322611417040277,0.1322611417040277,53.854,53.854
20,120,7,840,plus,5,0.1292884440164669,0.1292884440164669,54.891,54.891
20,120,7,840,plus,6,0.13556720484467327,0.13556720484467327,52.7,52.7
20,120,7,840,plus,7,0.13625942275390934,0.13625942275390934,52.459,52.459
