treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,SINGLE_VARIANCE,lhs,comma,off,0.51342971,0.04192712,100200,477,,,
baseline,WP1,7,1,SINGLE_VARIANCE,lhs,comma,off,0.51785381,0.03367164,100200,477,,,
baseline,WP1,7,2,SINGLE_VARIANCE,lhs,comma,off,0.50306588,0.06126628,100200,477,,,
baseline,WP1,7,3,SINGLE_VARIANCE,lhs,comma,off,0.50387751,0.05975177,100200,477,,,
baseline,WP1,7,4,SINGLE_VARIANCE,lhs,comma,off,0.51376854,0.04129485,100200,477,,,
baseline,WP1,7,5,SINGLE_VARIANCE,lhs,comma,off,0.5193634,0.03085471,100200,477,,,
baseline,WP1,7,6,SINGLE_VARIANCE,lhs,comma,off,0.50919559,0.04982809,100200,477,,,
baseline,WP1,7,7,SINGLE_VARIANCE,lhs,comma,off,0.52683673,0.01690928,100200,477,13260,,
baseline,WP1,7,8,SINGLE_VARIANCE,lhs,comma,off,0.50391494,0.05968192,100200,477,,,
baseline,WP1,7,9,SINGLE_VARIANCE,lhs,comma,off,0.5093449,0.04954947,100200,477,,,
baseline,WP1,7,10,SINGLE_VARIANCE,lhs,comma,off,0.51348791,0.04181851,100200,477,,,
baseline,WP1,7,11,SINGLE_VARIANCE,lhs,comma,off,0.53022446,0.01058768,100200,477,9900,,
baseline,WP1,7,12,SINGLE_VARIANCE,lhs,comma,off,0.51259403,0.04348652,100200,477,,,
baseline,WP1,7,13,SINGLE_VARIANCE,lhs,comma,off,0.5236567,0.02284329,100200,477,,,
baseline,WP1,7,14,SINGLE_VARIANCE,lhs,comma,off,0.50379852,0.05989917,100200,477,,,
baseline,WP1,7,15,SINGLE_VARIANCE,lhs,comma,off,0.51734515,0.0346208,100200,477,,,
baseline,WP1,7,16,SINGLE_VARIANCE,lhs,comma,off,0.50263644,0.06206763,100200,477,,,
baseline,WP1,7,17,SINGLE_VARIANCE,lhs,comma,off,0.50450812,0.05857503,100200,477,,,
baseline,WP1,7,18,SINGLE_VARIANCE,lhs,comma,off,0.51363536,0.04154337,100200,477,,,
baseline,WP1,7,19,SINGLE_VARIANCE,lhs,comma,off,0.52397872,0.0222424,100200,477,,,
baseline,WP1,7,20,SINGLE_VARIANCE,lhs,comma,off,0.52019482,0.02930324,100200,477,,,
baseline,WP1,7,21,SINGLE_VARIANCE,lhs,comma,off,0.53435426,0.00288138,100200,477,8850,,
baseline,WP1,7,22,SINGLE_VARIANCE,lhs,comma,off,0.51245384,0.04374811,100200,477,,,
baseline,WP1,7,23,SINGLE_VARIANCE,lhs,comma,off,0.51580412,0.03749641,100200,477,,,
baseline,WP1,7,24,SINGLE_VARIANCE,lhs,comma,off,0.50333475,0.06076457,100200,477,,,
baseline,WP1,10,0,SINGLE_VARIANCE,lhs,comma,off,0.40097257,0.04820308,100200,477,,,
baseline,WP1,10,1,SINGLE_VARIANCE,lhs,comma,off,0.37701875,0.10506277,100200,477,,,
baseline,WP1,10,2,SINGLE_VARIANCE,lhs,comma,off,0.38905997,0.07648028,100200,477,,,
baseline,WP1,10,3,SINGLE_VARIANCE,lhs,comma,off,0.37709893,0.10487244,100200,477,,,
baseline,WP1,10,4,SINGLE_VARIANCE,lhs,comma,off,0.38111782,0.09533271,100200,477,,,
baseline,WP1,10,5,SINGLE_VARIANCE,lhs,comma,off,0.38546325,0.08501788,100200,477,,,
baseline,WP1,10,6,SINGLE_VARIANCE,lhs,comma,off,0.3994114,0.05190886,100200,477,,,
baseline,WP1,10,7,SINGLE_VARIANCE,lhs,comma,off,0.40231595,0.04501427,100200,477,,,
baseline,WP1,10,8,SINGLE_VARIANCE,lhs,comma,off,0.38794109,0.07913617,100200,477,,,
baseline,WP1,10,9,SINGLE_VARIANCE,lhs,comma,off,0.39166928,0.07028649,100200,477,,,
baseline,WP1,10,10,SINGLE_VARIANCE,lhs,comma,off,0.39562748,0.06089085,100200,477,,,
